polyF1S1P1,24.5,368.1
polyF1S53P1,25.842298513541753,372.71078293254277
polyF1S162P1,27.023606797749984,375.7763932022501
polyF1S162P2,43.0,395.6
polyF1S162P3,42.7,394.3
polyF1S162P4,287.8155572728798,447.7934058270912
polyF1S162P5,287.84142135623733,446.32697521433903
polyF1S162P6,290.17734590803394,440.97734590803395
polyF1S162P7,290.7,440.1000000000001
polyF1S162P8,292.51480665269355,444.7514485459728
polyF1S162P9,291.7,439.49999999999994
polyF1S162P10,292.9,439.3
polyF1S162P11,294.1,438.9
polyF1S162P12,295.44142135623736,438.24142135623737
polyF1S208P1,43.6,394.59999999999997
polyF1S2P1,484.5102374660278,363.6860876080318
polyF1S4P1,43.900000000000006,394.5
polyF1S31P1,66.4226540919661,375.3773459080339
polyF1S54P1,20.17007458120454,315.7968406894773
polyF1S54P2,21.7,321.1
polyF1S54P3,21.899999999999995,322.09999999999997
polyF1S77P1,272.7890907391399,450.5597096488305
polyF1S77P2,264.24743396058597,440.2269056452737
polyF1S77P3,258.06581860473415,434.5939233597358
polyF1S77P4,262.50000000000006,431.1000000000001
polyF1S77P5,259.8817347385792,430.09465022879
polyF1S77P6,260.88994949366116,429.4473088065419
polyF1S77P7,260.5786796564404,427.46929602430487
polyF1S77P8,259.40000000000003,426.59999999999997
polyF1S77P9,257.1,424.9
polyF1S77P10,260.3,425.09999999999997
polyF1S77P11,257.73338505354224,423.84564752587653
polyF1S77P12,260.5856822361831,423.7819838174148
polyF1S77P13,257.8473088065419,422.461522368915
polyF1S77P14,259.78834426537816,420.67290408741434
polyF1S77P15,268.09004393867565,436.9931054052501
polyF1S77P16,269.40000000000003,418.59999999999997
polyF1S77P17,268.484699031259,418.33693980625185
polyF1S77P18,269.1,417.7
polyF1S77P19,270.5,416.70000000000005
polyF1S77P20,269.68469903125913,416.7369398062518
polyF1S77P21,273.5423018817578,412.6546918160678
polyF1S77P22,274.1666666666667,411.16666666666663
polyF1S77P23,274.7,410.7
polyF1S79P1,268.7585786437627,454.75857864376275
polyF1S98P1,263.9373482568244,436.65059741711883
polyF1S109P1,270.1,455.9
polyF1S151P1,43.7,399.1
polyF1S211P1,33.49999999999999,354.1
polyF1S211P2,34.2414213562373,356.3242640687119
polyF1S211P3,34.1,355.29999999999995
polyF1S232P1,41.01715728752537,388.1343145750508
polyF1S232P2,41.5,389.1
polyF1S232P3,41.95857864376269,389.0414213562373
polyF1S5P1,347.26465066793673,470.7795579540841
polyF1S6P1,324.3,404.8999999999999
polyF1S6P2,322.3,405.09999999999997
polyF1S6P3,322.8544657376626,404.6578729806374
polyF1S70P1,326.7585786437627,403.5585786437627
polyF1S70P2,327.0414213562373,403.4414213562373
polyF1S70P3,328.0032726422712,402.56512392830507
polyF1S70P4,326.9,402.30000000000007
polyF1S70P5,325.5,402.3
polyF1S70P6,321.23333333333335,391.83333333333337
polyF1S70P7,324.90000000000003,381.7
polyF1S70P8,326.77018501089884,381.0978195426695
polyF1S7P1,281.86,478.86
polyF1S8P1,478.85923591472465,424.43404232450416
polyF1S8P2,475.5,428.3
polyF1S8P3,477.33954695604405,425.89572124922057
polyF1S8P4,479.9585786437627,421.95857864376273
polyF1S8P5,480.0037893849656,422.845699910223
polyF1S8P6,483.1,414.5
